CONS_NO,FLAG,DATE,CONSUMPTION
CUST_0001,1,2014-01-01,5.68
CUST_0001,1,2014-01-02,9.22
CUST_0001,1,2014-01-03,1.92
CUST_0001,1,2014-01-04,5.89
CUST_0001,1,2014-01-05,12.96
CUST_0001,1,2014-01-06,0.57
CUST_0001,1,2014-01-07,12.13
CUST_0001,1,2014-01-08,14.44
CUST_0001,1,2014-01-09,5.58
CUST_0001,1,2014-01-10,5.18
CUST_0001,1,2014-01-11,9.67
CUST_0001,1,2014-01-12,9.9
CUST_0001,1,2014-01-13,14.11
CUST_0001,1,2014-01-14,9.26
CUST_0001,1,2014-01-15,13.36
CUST_0001,1,2014-01-16,0.87
CUST_0001,1,2014-01-17,8.28
CUST_0001,1,2014-01-18,7.43
CUST_0001,1,2014-01-19,5.88
CUST_0001,1,2014-01-20,1.86
CUST_0001,1,2014-01-21,1.64
CUST_0001,1,2014-01-22,11.89
CUST_0001,1,2014-01-23,1.36
CUST_0001,1,2014-01-24,1.85
CUST_0001,1,2014-01-25,9.48
CUST_0001,1,2014-01-26,10.5
CUST_0001,1,2014-01-27,8.95
CUST_0001,1,2014-01-28,14.32
CUST_0001,1,2014-01-29,10.59
CUST_0001,1,2014-01-30,6.94
CUST_0002,1,2014-01-01,14.27
CUST_0002,1,2014-01-02,2.18
CUST_0002,1,2014-01-03,7.48
CUST_0002,1,2014-01-04,4.14
CUST_0002,1,2014-01-05,9.39
CUST_0002,1,2014-01-06,9.58
CUST_0002,1,2014-01-07,13.45
CUST_0002,1,2014-01-08,3.85
CUST_0002,1,2014-01-09,9.52
CUST_0002,1,2014-01-10,1.79
CUST_0002,1,2014-01-11,1.35
CUST_0002,1,2014-01-12,8.57
CUST_0002,1,2014-01-13,14.31
CUST_0002,1,2014-01-14,14.85
CUST_0002,1,2014-01-15,5.14
CUST_0002,1,2014-01-16,8.02
CUST_0002,1,2014-01-17,10.75
CUST_0002,1,2014-01-18,7.15
CUST_0002,1,2014-01-19,9.68
CUST_0002,1,2014-01-20,10.48
CUST_0002,1,2014-01-21,13.55
CUST_0002,1,2014-01-22,11.87
CUST_0002,1,2014-01-23,14.8
CUST_0002,1,2014-01-24,9.77
CUST_0002,1,2014-01-25,10.47
CUST_0002,1,2014-01-26,8.09
CUST_0002,1,2014-01-27,5.78
CUST_0002,1,2014-01-28,9.13
CUST_0002,1,2014-01-29,3.27
CUST_0002,1,2014-01-30,14.7
CUST_0003,1,2014-01-01,11.01
CUST_0003,1,2014-01-02,4.45
CUST_0003,1,2014-01-03,0.61
CUST_0003,1,2014-01-04,12.45
CUST_0003,1,2014-01-05,5.03
CUST_0003,1,2014-01-06,4.78
CUST_0003,1,2014-01-07,4.84
CUST_0003,1,2014-01-08,7.51
CUST_0003,1,2014-01-09,9.54
CUST_0003,1,2014-01-10,13.88
CUST_0003,1,2014-01-11,2.51
CUST_0003,1,2014-01-12,1.5
CUST_0003,1,2014-01-13,13.73
CUST_0003,1,2014-01-14,2.19
CUST_0003,1,2014-01-15,5.7
CUST_0003,1,2014-01-16,8.16
CUST_0003,1,2014-01-17,9.94
CUST_0003,1,2014-01-18,2.68
CUST_0003,1,2014-01-19,6.93
CUST_0003,1,2014-01-20,9.47
CUST_0003,1,2014-01-21,7.63
CUST_0003,1,2014-01-22,1.46
CUST_0003,1,2014-01-23,5.68
CUST_0003,1,2014-01-24,11.22
CUST_0003,1,2014-01-25,6.87
CUST_0003,1,2014-01-26,4.71
CUST_0003,1,2014-01-27,14.55
CUST_0003,1,2014-01-28,3.51
CUST_0003,1,2014-01-29,2.13
CUST_0003,1,2014-01-30,7.44
CUST_0004,1,2014-01-01,9.02
CUST_0004,1,2014-01-02,5.56
CUST_0004,1,2014-01-03,13.65
CUST_0004,1,2014-01-04,5.42
CUST_0004,1,2014-01-05,1.05
CUST_0004,1,2014-01-06,7.68
