CONS_NO,FLAG,DATE,CONSUMPTION,YEAR,MONTH,DAY,DAY_OF_WEEK,ROLL_MEAN_3,ROLL_STD_3,ROLL_MEAN_7,DIFF_1,DAILY_ENERGY,LOAD_FACTOR,MIN_MAX_RATIO,DIFF_3,DIFF_7,VOLATILITY_INDEX,OFFPEAK_3,PEAK_OFFPEAK_RATIO,IFOREST_SCORE,IFOREST_LABEL,IFOREST_ANOMALY
CUST_0001,1,2014-01-08,14.44,2014,1,8,2,9.046666666666669,7.431314374545954,8.161428571428571,2.3099999999999987,14.44,0.565195884447962,0.0394736842105263,1.4799999999999986,8.76,0.8214422668989632,6.923333333333335,1.3066923447279728,0.09028461607659238,1,0
CUST_0001,1,2014-01-09,5.58,2014,1,9,3,10.716666666666669,4.595980127604266,7.6414285714285715,-8.86,5.58,0.529184804115552,0.0394736842105263,5.01,-3.640000000000001,0.4288628423892004,6.473333333333333,1.655509783728116,0.11020803515538996,1,0
CUST_0001,1,2014-01-10,5.18,2014,1,10,4,8.4,5.234615554173963,8.107142857142858,-0.4000000000000003,5.18,0.5614364859517215,0.0394736842105263,-6.950000000000001,3.26,0.6231685183540432,8.553333333333335,0.9820732657833202,0.13507710512011206,1,0
CUST_0001,1,2014-01-11,9.67,2014,1,11,5,6.81,2.484894363951916,8.647142857142857,4.49,9.67,0.598832607835378,0.0394736842105263,-4.77,3.78,0.3648890402278878,9.046666666666669,0.7527634487840825,0.1354151630598519,1,0
CUST_0001,1,2014-01-12,9.9,2014,1,12,6,8.25,2.66118394704312,8.209999999999999,0.2300000000000004,9.9,0.5685595567867036,0.0394736842105263,4.32,-3.0600000000000005,0.3225677511567417,10.716666666666669,0.769828926905132,0.13756431626473686,1,0
CUST_0001,1,2014-01-13,14.11,2014,1,13,0,11.226666666666668,2.4996866470286485,10.144285714285717,4.209999999999999,14.11,0.7025128611001188,0.3587257617728532,8.93,13.54,0.2226561740227418,8.4,1.3365079365079364,0.052296605698978205,1,0
CUST_0001,1,2014-01-14,9.26,2014,1,14,1,11.089999999999998,2.634900377623411,9.734285714285717,-4.85,9.26,0.6741195092995648,0.3587257617728532,-0.4100000000000001,-2.870000000000001,0.23759245965946,6.81,1.6284875183553595,0.10222116125597797,1,0
CUST_0001,1,2014-01-15,13.36,2014,1,15,2,12.243333333333334,2.610715099993358,9.58,4.1,13.36,0.6789510985116939,0.367115520907158,3.459999999999999,-1.08,0.2132356466098577,8.25,1.484040404040404,0.08859635727463155,1,0
CUST_0001,1,2014-01-16,0.87,2014,1,16,3,7.830000000000001,6.3666082021748425,8.907142857142857,-12.49,0.87,0.6312645540143769,0.0616583982990786,-13.24,-4.71,0.8131044958077703,11.226666666666668,0.6974465558194776,0.05384016625424848,1,0
CUST_0001,1,2014-01-17,8.28,2014,1,17,4,7.503333333333333,6.2811172042347145,9.35,7.409999999999999,8.28,0.6626506024096386,0.0616583982990786,-0.9800000000000004,3.1,0.8371102449002286,11.089999999999998,0.6765855124737001,0.10824431583596833,1,0
CUST_0001,1,2014-01-18,7.43,2014,1,18,5,5.526666666666666,4.055124330194244,9.03,-0.8499999999999996,7.43,0.6399716513111269,0.0616583982990786,-5.93,-2.24,0.7337378160785725,12.243333333333334,0.4514021236046828,0.1065397346510778,1,0
CUST_0001,1,2014-01-19,5.88,2014,1,19,6,7.196666666666666,1.2168949557514506,8.455714285714285,-1.5499999999999998,5.88,0.5992710337146906,0.0616583982990786,5.01,-4.0200000000000005,0.1690914713874178,7.830000000000001,0.919114516815666,0.1130345104572199,1,0
CUST_0001,1,2014-01-20,1.86,2014,1,20,0,5.056666666666668,2.874827531058744,6.7057142857142855,-4.02,1.86,0.5019247219846023,0.0651197604790419,-6.419999999999999,-12.25,0.5685222539997515,7.503333333333333,0.6739227010217682,0.10743877065253438,1,0
CUST_0001,1,2014-01-21,1.64,2014,1,21,1,3.126666666666668,2.386992528964702,5.6171428571428565,-0.2200000000000002,1.64,0.4204448246364414,0.0651197604790419,-5.79,-7.62,0.763430446363977,5.526666666666666,0.5657418576598313,0.09189029766839102,1,0
CUST_0001,1,2014-01-22,11.89,2014,1,22,2,5.130000000000002,5.855365061206687,5.407142857142857,10.25,11.89,0.4547639072449837,0.073170731707317,6.010000000000001,-1.4699999999999989,1.1413966980909718,7.196666666666666,0.7128300138953222,0.08180348084536426,1,0
CUST_0001,1,2014-01-23,1.36,2014,1,23,3,4.963333333333335,6.00030277013863,5.477142857142858,-10.53,1.36,0.4606512074972966,0.1143818334735071,-0.5,0.4900000000000001,1.208926011444989,5.056666666666668,0.981542518127884,0.08212188754593142,1,0
CUST_0001,1,2014-01-24,1.85,2014,1,24,4,5.033333333333335,5.943099640198986,4.558571428571429,0.49,1.85,0.3833954103087829,0.1143818334735071,0.2100000000000002,-6.43,1.1807482728872154,3.126666666666668,1.609808102345416,0.06135367641202061,1,0
CUST_0001,1,2014-01-25,9.48,2014,1,25,5,4.230000000000001,4.553229623025834,4.851428571428571,7.630000000000001,9.48,0.408025952180704,0.1143818334735071,-2.41,2.0500000000000007,1.0764136224647358,5.130000000000002,0.8245614035087719,0.08610499841101071,1,0
CUST_0001,1,2014-01-26,10.5,2014,1,26,6,7.276666666666668,4.727222581319113,5.511428571428572,1.0199999999999996,10.5,0.4635347831310825,0.1143818334735071,9.14,4.62,0.6496412159394107,4.963333333333335,1.466084620550705,0.12263248966732682,1,0
CUST_0001,1,2014-01-27,8.95,2014,1,27,0,9.643333333333334,0.787802851818499,6.524285714285715,-1.5500000000000007,8.95,0.5487204133125075,0.1143818334735071,7.1,7.089999999999999,0.0816940392483752,5.033333333333335,1.915894039735099,0.08642737161077707,1,0
